province;red;green;blue;x;y
1;152;239;220;Prov1;x
2;170;44;166;Prov2;x
3;200;120;40;Prov3;x
4;187;142;195;Prov4;x
5;16;185;121;Prov5;x
6;249;107;238;Prov6;x
7;244;207;72;Prov7;x
8;164;137;76;Prov8;x
9;12;162;144;Prov9;x
10;110;109;67;Prov10;x
11;1;93;15;Prov11;x
12;63;108;128;Prov12;x
13;97;123;12;Prov13;x
14;49;130;225;Prov14;x
15;83;1;22;Prov15;x
16;193;56;230;Prov16;x
17;219;174;40;Prov17;x
18;17;25;41;Prov18;x
19;32;239;230;Prov19;x
20;226;147;234;Prov20;x
21;79;68;191;Prov21;x
22;26;188;122;Prov22;x
23;13;50;194;Prov23;x
24;182;72;30;Prov24;x
25;60;204;253;Prov25;x
26;41;146;149;Prov26;x
27;106;111;232;Prov27;x
28;90;187;81;Prov28;x
29;236;211;97;Prov29;x
30;36;88;31;Prov30;x
31;35;177;182;Prov31;x
32;66;177;206;Prov32;x
33;189;220;196;Prov33;x
34;151;17;7;Prov34;x
35;38;72;134;Prov35;x
36;37;38;192;Prov36;x
37;11;181;137;Prov37;x
38;104;42;152;Prov38;x
39;87;128;182;Prov39;x
40;100;110;123;Prov40;x
41;116;76;74;Prov41;x
42;141;58;106;Prov42;x
43;85;94;209;Prov43;x
44;235;247;149;Prov44;x
45;207;217;117;Prov45;x
46;127;214;45;Prov46;x
47;230;168;91;Prov47;x
48;77;183;23;Prov48;x
49;15;87;87;Prov49;x
50;86;52;224;Prov50;x
51;17;246;131;Prov51;x
52;106;126;103;Prov52;x
53;20;193;231;Prov53;x
54;60;146;64;Prov54;x
55;160;16;90;Prov55;x
56;126;238;6;Prov56;x
57;76;35;140;Prov57;x
58;78;115;112;Prov58;x
59;185;88;39;Prov59;x
60;52;10;179;Prov60;x
61;159;21;8;Prov61;x
62;50;118;154;Prov62;x
63;15;67;156;Prov63;x
64;138;192;82;Prov64;x
65;129;40;63;Prov65;x
66;160;63;17;Prov66;x
67;111;186;22;Prov67;x
68;102;250;116;Prov68;x
69;159;24;35;Prov69;x
70;4;38;175;Prov70;x
71;65;19;156;Prov71;x
72;102;139;81;Prov72;x
73;225;220;180;Prov73;x
74;17;137;149;Prov74;x
75;121;243;21;Prov75;x
76;175;78;89;Prov76;x
77;175;66;206;Prov77;x
78;68;45;254;Prov78;x
79;65;92;235;Prov79;x
80;29;226;159;Prov80;x
81;203;152;37;Prov81;x
82;113;155;164;Prov82;x
83;220;202;37;Prov83;x
84;200;45;104;Prov84;x
85;255;190;245;Prov85;x
86;121;213;130;Prov86;x
87;116;107;152;Prov87;x
88;158;120;231;Prov88;x
89;67;202;185;Prov89;x
90;62;125;59;Prov90;x
91;45;41;57;Prov91;x
92;23;242;24;Prov92;x
93;181;197;228;Prov93;x
94;5;43;65;Prov94;x
95;233;146;238;Prov95;x
96;51;5;7;Prov96;x
97;240;204;168;Prov97;x
98;121;104;24;Prov98;x
99;138;199;106;Prov99;x
100;145;12;163;Prov100;x
101;65;96;150;Prov101;x
102;167;179;141;Prov102;x
103;29;53;232;Prov103;x
104;162;152;197;Prov104;x
105;209;183;244;Prov105;x
106;96;121;88;Prov106;x
